"model","price","objem","age","tachometer","seo_name","kombi","district","district_id","district_seo_name","entity_id","img_url","index"
"fabia",404999,1,1.65366187542779,21700,"benzin",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_QQ_Ep/M9YCQ1.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",55
"fabia",174999,1.2,11.4880219028063,96500,"benzin",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_QK_E0/FWPI5E.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",56
"fabia",273999,1,3.57289527720739,170400,"benzin",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_QR_E7/6VfY3L.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",57
"fabia",154999,1.2,10.2340862422998,104500,"benzin",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_QI_D9/0DrJRb.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",58
"fabia",249999,1.2,5.73853524982888,101000,"benzin",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_gZ_p/x7zGkB.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",59
"fabia",159999,1.2,11.7399041752225,17200,"benzin",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_QP_ER/0NFHZ4.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",60
"fabia",449999,1,0.739219712525667,19500,"benzin",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_gZ_p/828DsO.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",61
"fabia",239999,1,4.32032854209446,150100,"benzin",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_gR_o/eubDLe.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",62
"fabia",388999,1,1.65366187542779,42100,"benzin",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_QQ_Ep/q6jEVk.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",63
"fabia",354999,1,3.15400410677618,44000,"benzin",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_QQ_Ep/ex6Dsr.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",64
"fabia",49999,1.2,16.6543463381246,263400,"benzin",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_gS_q/FQDCNP.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",65
"fabia",139999,1.6,8.90075290896646,198600,"nafta",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_QK_E2/8qYBSe.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",66
"fabia",64999,1.2,14.403832991102,107800,"benzin",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_QP_ES/3zxGQm.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",67
"fabia",159999,1.2,10.7378507871321,108000,"benzin",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_QL_E1/vXEGQs.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",68
"fabia",119999,1.2,13.3196440793977,160300,"benzin",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_gT_s/kZ1BdW.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",69
"fabia",49999,1.2,16.6543463381246,133000,"benzin",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_gV_s/oVQBUL.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",70
"fabia",449999,1,0.654346338124572,18300,"benzin",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_gQ_p/OkJte.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",71
"fabia",254999,1,5.15263518138261,48300,"benzin",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_QI_EA/9GtC7t.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",72
"fabia",218999,1.4,7.57289527720739,165600,"nafta",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_gS_p/58tLfr.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",73
"fabia",374999,1,0.900752908966461,19500,"benzin",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_QI_EA/iVqR2.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",74
"fabia",314999,1,5.06776180698152,58300,"benzin",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_gX_p/ipnJGX.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",75
"fabia",99999,1.4,13.7385352498289,230605,"benzin",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_gU_n/6MlIl9.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",76
"fabia",354999,1,1.23477070499658,14300,"benzin",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_gT_r/0MrImj.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",77
"fabia",314999,1,4.0684462696783,72900,"benzin",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_gY_p/z7RHyR.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",78
"fabia",454999,1,0.654346338124572,13000,"benzin",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_QJ_Ec/LptNuJ.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",79
"fabia",239999,1.4,7.57289527720739,147200,"nafta",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_QK_E3/ZsVMX0.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",80
"fabia",209999,1.2,12.1533196440794,10400,"benzin",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_gT_s/ZOXHdG.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",81
"fabia",449999,1,0.654346338124572,15300,"benzin",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_gU_o/pYcG7l.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",82
"fabia",129999,1.2,12.4052019164956,98400,"benzin",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_gU_o/BDeGy8.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",83
"fabia",209999,1.2,7.4880219028063,111800,"benzin",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_QI_EA/RL4LTb.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",84
"fabia",259999,1.2,6.15195071868583,94400,"benzin",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_QQ_Eq/PJlKiC.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",85
"fabia",119999,1.6,14.4859685147159,161200,"benzin",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_QJ_Ec/rdDKZb.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",86
"fabia",89999,1.6,14.7378507871321,233300,"benzin",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_gU_o/sLRClh.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",87
"fabia",89000,1.2,11.2826830937714,284510,"nafta",0,"Karlovy Vary",10,"karlovy-vary",10,"http://d19-a.sdn.cz/d_19/c_img_gY_q/pYqI3Y.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",88
"fabia",18000,1.4,22.0670773442847,249500,"benzin",1,"Jihlava",67,"jihlava",5097,"http://d19-a.sdn.cz/d_19/c_img_QL_E1/PPnNyr.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",89
"fabia",309000,1,2.15195071868583,28116,"benzin",0,"Příbram",58,"pribram",58,"http://d19-a.sdn.cz/d_19/c_img_QJ_Ec/Xq3Nwi.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",90
"fabia",293700,1,4.0684462696783,99337,"benzin",1,"České Budějovice",1,"ceske-budejovice",1,"http://d19-a.sdn.cz/d_19/c_img_QJ_Ec/Bo9NwL.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",91
